Fail to allocate 34359738368 bytes...

MALLOC timings:
		      alloc							      free
	min           avg           max					min           avg            max
26	0.0000010980  0.0000011390  0.0000012180			0.0000013430  0.0000013932  0.0000015490
27	0.0000013190  0.0000013949  0.0000016230			0.0000017380  0.0000017854  0.0000020880
28	0.0000013180  0.0000013524  0.0000014120			0.0000021210  0.0000021910  0.0000023380
29	0.0000013020  0.0000032808  0.0000202980			0.0000029100  0.0000031884  0.0000047990
30	0.0000012570  0.0000013601  0.0000014370			0.0000044350  0.0000045423  0.0000048170
31	0.0000013450  0.0000014118  0.0000014610			0.0000044410  0.0000045246  0.0000046600
32	0.0000013120  0.0000013981  0.0000015660			0.0000044320  0.0000045241  0.0000046630
33	0.0000011980  0.0000034405  0.0000208820			0.0000042170  0.0000074315  0.0000185780
34	0.0000011820  0.0000012345  0.0000013000			0.0000041510  0.0000052592  0.0000149360

ALLOCA timings:
		      alloc							      free
	min           avg           max					min           avg            max
0	0.0000000600  0.0000095158  0.0000944350			-             -             -
1	0.0000000610  0.0000000624  0.0000000640			-             -             -
2	0.0000000580  0.0000000614  0.0000000630			-             -             -
3	0.0000000600  0.0000000618  0.0000000640			-             -             -
4	0.0000000630  0.0000000775  0.0000001580			-             -             -
5	0.0000000630  0.0000000811  0.0000002300			-             -             -
6	0.0000000630  0.0000000773  0.0000001820			-             -             -
7	0.0000000630  0.0000000705  0.0000001160			-             -             -
8	0.0000000640  0.0000000677  0.0000000870			-             -             -
9	0.0000000630  0.0000000752  0.0000001180			-             -             -
10	0.0000000640  0.0000000832  0.0000002380			-             -             -
11	0.0000000810  0.0000000917  0.0000001260			-             -             -
12	0.0000000830  0.0000001008  0.0000001660			-             -             -
13	0.0000000810  0.0000003528  0.0000027730			-             -             -
14	0.0000000860  0.0000003479  0.0000025590			-             -             -
15	0.0000000810  0.0000003222  0.0000024230			-             -             -
16	0.0000000820  0.0000003490  0.0000026320			-             -             -
17	0.0000000830  0.0000011612  0.0000062880			-             -             -
18	0.0000000850  0.0000003312  0.0000025190			-             -             -
19	0.0000000880  0.0000010827  0.0000064320			-             -             -
Segmentation fault (core dumped)
